id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,preexp,minority
349,f,3/22/1938,17,1,"$29,100.00 ","$12,750.00 ",73,375,0
350,f,4/21/1939,12,1,"$37,650.00 ","$15,750.00 ",73,132,0
351,f,1/27/1966,12,1,"$27,900.00 ","$13,500.00 ",73,32,0
352,f,11/26/1933,8,1,"$21,150.00 ","$12,000.00 ",73,159,0
353,m,3/10/1955,12,2,"$31,200.00 ","$15,750.00 ",73,155,1
354,f,5/8/1946,12,1,"$20,550.00 ","$11,250.00 ",73,154,1
355,m,5/19/1961,15,1,"$25,950.00 ","$17,250.00 ",72,83,0
356,m,11/10/1965,15,1,"$28,350.00 ","$15,000.00 ",72,48,0
357,f,1/18/1932,8,1,"$17,700.00 ","$10,200.00 ",72,184,0
358,f,4/11/1944,15,1,"$23,550.00 ","$13,500.00 ",72,49,0
359,f,6/12/1941,12,1,"$19,950.00 ","$10,200.00 ",72,56,0
360,f,8/11/1968,12,1,"$29,400.00 ","$15,300.00 ",72,30,0
361,f,6/9/1966,12,1,"$28,800.00 ","$13,950.00 ",72,18,0
362,f,4/8/1937,8,1,"$16,950.00 ","$10,200.00 ",72,319,0
363,m,6/3/1954,16,,"$35,700.00 ","$18,000.00 ",72,138,1
364,f,3/26/1947,12,1,"$17,400.00 ","$10,200.00 ",72,116,1
365,f,10/16/1948,8,1,"$21,450.00 ","$10,200.00 ",72,194,1
366,f,3/21/1961,12,1,"$24,750.00 ","$12,000.00 ",72,68,1
367,f,5/22/1942,12,1,"$16,950.00 ","$10,200.00 ",72,271,1
368,f,7/20/1943,12,1,"$26,100.00 ","$13,500.00 ",72,169,1
369,m,11/14/1967,14,1,"$28,050.00 ","$15,000.00 ",71,15,0
370,f,1/20/1963,16,1,"$36,600.00 ","$18,000.00 ",71,12,0
371,f,4/5/1966,16,3,"$58,125.00 ","$18,000.00 ",71,11,0
372,m,8/22/1935,15,1,"$21,300.00 ","$15,750.00 ",70,372,0
373,m,10/29/1949,12,1,"$22,500.00 ","$16,500.00 ",70,216,0
374,m,7/26/1967,15,1,"$29,400.00 ","$15,750.00 ",70,15,0
375,m,10/8/1966,12,1,"$27,450.00 ","$14,700.00 ",70,41,0
376,m,10/9/1964,15,1,"$29,850.00 ","$15,750.00 ",70,48,0
377,m,11/29/1965,15,1,"$25,350.00 ","$15,750.00 ",70,56,0
378,f,9/21/1930,8,1,"$15,750.00 ","$10,200.00 ",70,275,0
379,f,5/12/1938,8,1,"$19,650.00 ","$13,050.00 ",70,102,0
380,f,2/22/1941,12,1,"$21,000.00 ","$13,500.00 ",70,82,0
381,m,7/15/1946,17,1,"$27,000.00 ","$18,000.00 ",70,192,1
382,m,10/20/1959,12,1,"$24,000.00 ","$15,750.00 ",70,120,1
383,m,6/3/1961,17,3,"$78,500.00 ","$28,740.00 ",70,67,1
384,f,11/11/1955,12,1,"$20,850.00 ","$13,050.00 ",70,127,1
385,m,10/1/1930,12,2,"$30,000.00 ","$15,750.00 ",69,348,0
386,m,8/18/1934,8,2,"$28,500.00 ","$15,750.00 ",69,174,0
387,m,2/3/1965,19,3,"$65,000.00 ","$31,980.00 ",69,74,0
388,m,1/2/1959,14,1,"$30,150.00 ","$16,500.00 ",69,110,0
389,m,4/15/1959,19,3,"$66,875.00 ","$32,490.00 ",69,81,0
390,f,11/9/1968,15,1,"$24,150.00 ","$13,500.00 ",69,7,0
391,f,1/12/1969,12,1,"$24,450.00 ","$12,450.00 ",69,12,0
392,f,5/12/1970,12,1,"$21,600.00 ","$12,000.00 ",69,0,0
393,f,6/24/1969,12,1,"$27,900.00 ","$12,450.00 ",69,0,0
394,f,2/4/1970,8,1,"$29,100.00 ","$12,450.00 ",69,17,0
395,f,3/9/1970,12,1,"$22,650.00 ","$11,250.00 ",69,2,0
396,f,8/17/1970,12,1,"$20,850.00 ","$11,250.00 ",69,0,0
397,f,1/17/1970,12,1,"$22,950.00 ","$12,300.00 ",69,5,0
398,f,11/21/1970,12,1,"$30,600.00 ","$12,450.00 ",69,5,0
399,f,2/6/1970,12,1,"$20,400.00 ","$11,250.00 ",69,0,0
400,f,8/6/1969,12,1,"$23,850.00 ","$12,750.00 ",69,20,0
401,f,3/14/1970,12,1,"$22,800.00 ","$11,250.00 ",69,0,0
402,f,2/7/1970,12,1,"$20,700.00 ","$11,250.00 ",69,2,0
403,f,4/28/1970,12,1,"$21,300.00 ","$11,250.00 ",69,3,1
404,f,5/1/1953,12,1,"$24,300.00 ","$15,000.00 ",69,121,1
405,f,7/12/1944,12,1,"$19,650.00 ","$13,950.00 ",69,133,1
406,m,10/5/1965,17,3,"$60,000.00 ","$32,490.00 ",68,17,0
407,m,9/6/1965,15,1,"$30,300.00 ","$15,750.00 ",68,55,0
408,m,2/12/1964,19,3,"$61,250.00 ","$33,000.00 ",68,9,0
409,m,11/21/1962,19,1,"$36,000.00 ","$19,500.00 ",68,21,0
410,f,1/9/1942,8,1,"$25,200.00 ","$18,750.00 ",68,344,0
411,f,8/21/1931,12,1,"$16,200.00 ","$10,200.00 ",68,180,0
412,f,6/16/1970,12,1,"$22,800.00 ","$11,250.00 ",68,2,0
413,f,3/13/1966,16,3,"$43,500.00 ","$19,500.00 ",68,11,0
414,m,1/8/1961,8,2,"$30,300.00 ","$15,750.00 ",68,155,1
415,m,5/2/1963,15,1,"$31,950.00 ","$15,750.00 ",68,70,1
416,m,1/16/1965,15,1,"$35,250.00 ","$13,500.00 ",67,6,0
417,m,7/22/1967,15,1,"$37,800.00 ","$15,000.00 ",67,36,0
418,m,6/5/1965,15,1,"$31,200.00 ","$15,750.00 ",67,46,0
419,m,10/20/1964,15,1,"$29,400.00 ","$16,500.00 ",67,68,0
420,m,7/16/1957,19,3,"$70,000.00 ","$35,040.00 ",67,75,0
421,m,11/1/1961,15,1,"$33,900.00 ","$15,750.00 ",67,96,0
422,m,7/20/1963,15,1,"$27,150.00 ","$16,500.00 ",67,78,0
423,f,4/26/1936,12,1,"$22,200.00 ","$13,800.00 ",67,196,0
424,f,7/6/1966,15,1,"$31,350.00 ","$11,100.00 ",67,47,0
425,f,1/26/1942,12,1,"$20,850.00 ","$13,500.00 ",67,181,0
426,m,10/27/1952,16,1,"$33,300.00 ","$17,490.00 ",67,120,1
427,m,4/21/1942,8,1,"$26,250.00 ","$16,050.00 ",67,97,1
428,m,2/28/1964,15,1,"$31,950.00 ","$15,750.00 ",67,58,1
429,m,8/13/1946,8,2,"$30,000.00 ","$15,750.00 ",67,305,1
430,m,4/29/1956,19,3,"$66,250.00 ","$34,980.00 ",67,99,1
431,m,1/15/1959,18,3,"$86,250.00 ","$45,000.00 ",66,50,0
432,m,3/12/1964,12,1,"$30,750.00 ","$15,000.00 ",66,56,0
433,m,11/15/1966,12,1,"$33,540.00 ","$15,750.00 ",66,47,0
434,m,,16,1,"$34,950.00 ","$20,250.00 ",66,55,0
435,m,5/24/1964,15,1,"$40,350.00 ","$16,500.00 ",66,80,0
436,m,5/27/1965,12,1,"$30,270.00 ","$15,750.00 ",66,80,0
437,m,9/4/1933,8,1,"$26,250.00 ","$16,050.00 ",66,264,0
438,m,10/11/1964,15,1,"$32,400.00 ","$15,000.00 ",66,64,0
439,f,6/25/1970,12,1,"$20,400.00 ","$11,250.00 ",66,0,0
440,f,11/10/1947,8,1,"$24,150.00 ","$12,750.00 ",66,96,0
441,f,8/2/1949,15,1,"$23,850.00 ","$13,500.00 ",66,122,0
442,f,9/18/1968,12,1,"$29,700.00 ","$13,500.00 ",66,26,0
443,f,2/10/1929,8,1,"$21,600.00 ","$13,500.00 ",66,228,0
444,f,9/16/1961,12,1,"$24,450.00 ","$15,750.00 ",66,87,0
445,m,8/4/1963,15,1,"$28,050.00 ","$16,500.00 ",66,84,1
446,m,8/3/1958,16,3,"$100,000.00 ","$44,100.00 ",66,128,1
447,m,7/2/1961,15,1,"$49,000.00 ","$20,550.00 ",66,86,1
448,f,6/5/1933,12,1,"$16,350.00 ","$10,200.00 ",66,163,1
449,m,1/2/1966,16,3,"$70,000.00 ","$21,750.00 ",65,19,0
450,m,7/21/1954,19,3,"$55,000.00 ","$34,980.00 ",65,129,0
451,m,7/19/1969,15,1,"$28,500.00 ","$14,250.00 ",65,20,0
452,m,8/13/1953,12,1,"$28,800.00 ","$18,000.00 ",65,210,0
453,m,8/7/1930,15,1,"$24,450.00 ","$15,750.00 ",65,338,0
454,m,7/28/1965,19,3,"$90,625.00 ","$31,250.00 ",65,18,0
455,m,1/17/1964,16,3,"$43,650.00 ","$19,500.00 ",65,19,0
456,m,10/17/1959,19,3,"$75,000.00 ","$42,510.00 ",65,54,0
457,m,5/27/1968,15,1,"$31,650.00 ","$14,250.00 ",65,10,0
458,m,7/6/1965,19,3,"$61,875.00 ","$28,740.00 ",65,26,0
459,f,2/10/1971,12,1,"$21,750.00 ","$11,250.00 ",65,0,0
460,f,8/12/1969,12,1,"$22,500.00 ","$12,750.00 ",65,24,0
461,f,11/8/1943,8,1,"$21,600.00 ","$13,500.00 ",65,173,0
462,f,10/18/1963,16,3,"$34,410.00 ","$19,500.00 ",65,79,0
463,f,10/15/1934,15,1,"$20,700.00 ","$14,250.00 ",65,241,0
464,m,3/20/1962,19,3,"$47,550.00 ","$33,000.00 ",64,27,0
465,m,7/20/1962,12,1,"$33,900.00 ","$16,500.00 ",64,106,0
466,f,6/15/1948,12,1,"$23,400.00 ","$13,500.00 ",64,198,0
467,f,8/18/1967,16,1,"$32,850.00 ","$19,500.00 ",64,20,0
468,f,11/28/1965,16,3,"$55,750.00 ","$19,980.00 ",64,36,0
469,f,6/1/1964,15,1,"$25,200.00 ","$13,950.00 ",64,57,0
470,m,1/22/1964,12,1,"$26,250.00 ","$15,750.00 ",64,69,1
471,m,8/3/1966,15,1,"$26,400.00 ","$15,750.00 ",64,32,1
472,m,2/21/1966,15,1,"$39,150.00 ","$15,750.00 ",63,46,0
473,f,11/25/1937,12,1,"$21,450.00 ","$12,750.00 ",63,139,0
474,f,11/5/1968,12,1,"$29,400.00 ","$14,250.00 ",63,9,0
